Champion;B;G;W;L;WR;PB%;By;K;D;A;KDA;CS;CSPM;G;GPM;KPAR;KS;GS
Nidalee;121;36;22;14;61.1;86.3;12;02.31;02.04;06.04;05.24;173.25.00;05.03;13.2k;383;71.1%;20.6%;20.7%
Karma;44;100;41;59;41;79.1;19;01.23;02.16;07.25;03.56;74.34.00;2;10.29k;278;75.6%;8.2%;15.9%
Vladimir;91;51;27;24;52.9;78;10;03.41;02.38;05.22;04.36;301.2;08.56;13.87k;394;70.5%;27.9%;21.9%
Trundle;58;73;36;37;49.3;72;20;01.59;02.16;07.07;04.22;219.29.00;5.8;13.05k;346;68.3%;13.1%;19.3%
Braum;45;78;42;36;53.8;67.6;10;00.41;02.51;09.32;04.11;52.36.00;01.41;9.91k;268;74.2%;3.3%;14.7%
Elise;37;71;37;34;52.1;59.3;11;02.32;02.28;06.15;03.54;146.29.00;04.21;13.06k;341;70.2%;20.2%;19.1%
Azir;52;53;30;23;56.6;57.7;11;04.02;03.15;05.29;03.09;358.08.00;09.16;16.02k;410;66.8%;28.4%;22.7%
Olaf;60;38;18;20;47.4;53.8;13;03.08;03.14;05.34;03.33;192.5;05.22;12.88k;349;69%;23.1%;19.7%
Rek'Sai;13;85;38;47;44.7;53.8;12;02.18;02.18;07.25;04.36;150.18.00;04.03;12.58k;339;74.6%;15.4%;19%
Sivir;19;77;36;41;46.8;52.7;11;02.42;02.31;05.44;04.12;364.6;10.08;15.39k;425;73.4%;22.6%;24.1%
Bard;60;35;21;14;60;52.2;9;01.17;02.49;09.09;04.37;21.37.00;01.01;9.2k;267;75.7%;5.9%;14.8%
Gragas;17;78;45;33;57.7;52.2;19;01.55;02.38;07.24;04.09;157.22.00;04.29;12.22k;334;70.2%;12.4%;18.7%
Ryze;60;32;18;14;56.3;50.5;10;03.06;02.59;04.41;03.12;298.06.00;08.36;13.92k;390;64.4%;24.2%;21.6%
Shen;44;48;23;25;47.9;50.5;11;1.9;02.29;07.15;04.17;253.23.00;07.38;13.02k;359;76.3%;16.7%;20.3%
Caitlyn;33;48;26;22;54.2;44.5;10;03.19;02.21;04.52;03.49;334.5;09.19;15.07k;414;71.3%;29.5%;23.3%
Viktor;8;72;30;42;41.7;44;10;3;2.5;04.18;03.27;345.32.00;09.38;15.15k;394;66.8%;27.9%;22.5%
Lucian;14;62;30;32;48.4;41.8;12;03.29;02.19;4.1;04.13;341.19.00;09.24;15.25k;413;65.3%;29.1%;23.1%
Irelia;37;37;23;14;62.2;40.7;9;04.18;03.08;04.32;02.50;291.41.00;08.23;14.63k;393;60.9%;29.9%;21.5%
Gnar;9;60;28;32;46.7;37.9;10;02.37;02.12;5;03.29;269.28.00;07.27;13.4k;362;62.5%;17.6%;20.5%
Jhin;14;55;23;32;41.8;37.9;11;04.04;02.15;05.35;05.32;288.35.00;08.09;13.78k;386;74.8%;31.7%;22.1%
Malzahar;46;15;10;5;66.7;33.5;8;3.8;2.2;05.13;04.28;300.13.00;08.41;14.31k;401;67%;29.8%;21.8%
Ashe;8;46;30;16;65.2;29.7;11;03.07;02.17;06.59;04.44;318.29.00;08.51;15.22k;407;71.2%;22.6%;22.2%
Ezreal;2;47;21;26;44.7;26.9;10;04.15;02.14;05.26;05.39;342.11.00;8.7;16.2k;412;75.7%;33.4%;23%
Kindred;18;24;10;14;41.7;23.1;8;02.33;04.15;04.42;02.20;147.11.00;04.23;11.82k;341;72%;24.9%;19.9%
Nami;0;37;18;19;48.6;20.3;10;00.46;02.14;08.35;04.34;20.16.00;00.52;10k;259;74%;4%;14.5%
Swain;22;14;7;7;50;19.8;5;02.07;02.43;05.04;03.16;295.29.00;09.01;13.16k;384;63.5%;19.6%;21.8%
Fizz;17;17;10;7;58.8;18.7;9;04.29;02.29;05.28;04.00;266.35.00;07.19;14.03k;379;71.2%;33.3%;20.8%
Kassadin;10;18;8;10;44.4;15.4;9;4;02.23;04.07;04.18;15.06;08.01;12.34k;388;74.2%;38.7%;22.1%
Gangplank;9;17;6;11;35.3;14.3;9;03.06;3;05.24;03.16;287.11.00;08.21;15.15k;413;77%;28.4%;23.4%
Hecarim;4;22;10;12;45.5;14.3;8;3;03.04;07.17;04.11;137.13.00;04.06;11.77k;350;77.9%;23.9%;19.6%
Tahm Kench;6;19;10;9;52.6;13.7;11;01.35;02.42;06.08;03.14;88.32.00;03.01;9.58k;283;67%;9.6%;15.9%
Ekko;4;21;12;9;57.1;13.7;9;03.02;02.16;5.9;05.24;254.07.00;7.3;12.8k;368;69.6%;21.4%;20.6%
Zilean;7;17;11;6;64.7;13.2;7;02.34;02.05;7;05.43;340.24.00;08.56;15.02k;378;74.1%;16.1%;20.9%
LeBlanc;7;17;10;7;58.8;13.2;6;05.34;02.29;04.29;04.03;260.18.00;7.9;13.16k;399;62.1%;33.2%;21.6%
Maokai;3;20;8;12;40;12.6;10;01.05;2.7;5.5;02.43;253.25.00;07.02;12.44k;344;72%;11.5%;20%
Alistar;1;21;10;11;47.6;12.1;8;00.33;03.11;08.24;03.16;37.33.00;01.06;8.92k;253;76.3%;3%;14.3%
Fiora;9;12;8;4;66.7;11.5;6;04.08;2;03.33;04.11;292.15.00;08.45;14.38k;417;64.5%;35.5%;22.7%
Thresh;0;20;6;14;30;11;8;0.4;03.35;8.1;02.54;40.5;01.08;9.08k;243;68.8%;3.2%;14.2%
Jax;5;15;10;5;66.7;11;5;03.33;2.6;05.27;03.15;310.33.00;08.03;15.32k;396;75%;30.5%;21.9%
Cassiopeia;5;14;8;6;57.1;10.4;7;04.07;2;04.04;04.26;284.43.00;08.58;13.31k;402;69.2%;36.5%;22.3%
Illaoi;11;5;1;4;20;8.8;2;2.6;4.2;2;01.10;289.8;08.22;13.58k;385;54.8%;31%;21.9%
Lee Sin;0;16;8;8;50;8.8;6;02.28;03.34;08.34;03.34;141.38.00;3.9;12.26k;338;74.4%;14.2%;18.7%
Draven;10;5;2;3;40;8.2;1;4;2;2.6;03.30;249;07.59;13.54k;412;67.3%;40.8%;24.5%
Rumble;3;12;7;5;58.3;8.2;6;02.58;04.32;08.07;03.02;247.07.00;07.33;13.35k;375;69.1%;17.4%;20.4%
Janna;0;15;7;8;46.7;8.2;5;0.2;02.33;10.27;05.21;19.47.00;00.51;9.8k;256;87.3%;1.7%;14.7%
Taric;2;12;8;4;66.7;7.7;4;01.07;02.23;08.58;05.05;44.08.00;01.23;9.73k;271;80.4%;5.8%;14.8%
Taliyah;6;7;4;3;57.1;7.1;5;04.43;04.11;04.57;02.42;282;08.17;13.91k;403;61.8%;30.4%;21.9%
Lissandra;1;12;5;7;41.7;7.1;7;02.25;03.23;06.58;03.12;302;08.15;13.94k;376;79.1%;20.1%;21.4%
Kog'Maw;5;8;2;6;25;7.1;4;03.25;03.13;05.28;03.00;283.13.00;08.56;12.85k;389;80.2%;32.1%;22.6%
Varus;4;9;4;5;44.4;7.1;4;02.56;02.33;05.22;03.33;322.22.00;08.57;14.5k;386;72.9%;24%;22%
Syndra;8;2;1;1;50;5.5;1;6.5;5;5;02.29;377.5;09.35;17.85k;442;79.3%;44.8%;24.5%
Zyra;0;10;6;4;60;5.5;5;0.8;3.1;6.9;02.48;18.6;00.56;9.1k;274;61.6%;6.4%;15.1%
Graves;1;9;3;6;33.3;5.5;7;2;02.33;04.07;02.43;183.29.00;05.34;12.84k;347;72.9%;25.7%;20.3%
Anivia;4;6;4;2;66.7;5.5;3;3.5;1.5;07.07;07.18;284;9;13.18k;418;72.6%;25%;22.8%
Kalista;3;5;4;1;80;4.4;2;5;2;6.8;06.30;306.6;09.45;15.32k;472;70.2%;29.8%;23.7%
Poppy;0;7;4;3;57.1;3.8;2;02.57;02.11;6;05.00;289.43.00;07.12;14.7k;362;56.6%;17%;19.9%
Zed;4;2;1;1;50;3.3;2;3;2;2;02.50;253.5;08.27;11.7k;382;66.7%;40%;21.2%
Twisted Fate;0;6;5;1;83.3;3.3;3;06.07;3;7;04.22;287.07.00;07.36;16.48k;423;83.5%;37.4%;22.4%
Morgana;2;4;2;2;50;3.3;1;1.5;2;8.5;05.00;26.25.00;01.18;9.75k;290;78.4%;11.8%;16%
Soraka;0;6;4;2;66.7;3.3;3;0;03.07;09.17;03.44;18.17.00;00.52;8.97k;258;72.4%;0%;14.2%
Tristana;0;6;6;0;100;3.3;3;04.23;0.5;7;22.07;319.23.00;9.8;15.28k;470;67%;23.7%;23.8%
Nautilus;1;5;0;5;0;3.3;3;1.2;5;3.6;01.36;110.2;03.31;8.82k;265;77.4%;19.4%;16.8%
Jayce;3;2;0;2;0;2.7;1;3.5;4.5;3.5;01.56;274;7;13.85k;354;46.7%;23.3%;20.8%
Kha'Zix;0;5;2;3;40;2.7;2;4;1.8;4.2;04.55;146.4;04.15;12.52k;355;74.5%;36.4%;19.7%
Sion;3;1;0;1;0;2.2;1;1;4;19;05.00.00;81;02.45;11.3k;342;64.5%;3.2%;16.6%
