Champion;B;G;W;L;WR;PB%;By;K;D;A;KDA;CS;CSPM;G;GPM;KPAR;KS;GS
Alistar;38;156;75;81;48.1;90.2;12;00.32;02.24;07.43;03.46;38.26.00;01.02;N/A;N/A;73.1%;3%;N/A
Kalista;103;89;48;41;53.9;89.3;10;03.49;02.18;04.22;04.34;325.04.00;8.9;N/A;N/A;69.4%;31.4%;N/A
Corki;95;94;52;42;55.3;87.9;23;03.02;02.33;04.05;04.07;347.11.00;09.08;N/A;N/A;72.4%;30.9%;N/A
Poppy;58;101;54;47;53.5;74;15;02.19;02.29;05.58;03.23;269.44.00;07.12;N/A;N/A;66.9%;16.2%;N/A
Nidalee;98;60;32;28;53.3;73.5;10;03.02;02.03;05.02;04.35;186.17.00;05.14;13.81k;381;77.1%;29%;20.9%
Gangplank;101;53;25;28;47.2;71.6;19;2.4;02.25;05.19;03.20;321.08.00;08.42;16.13k;423;70.3%;23.4%;23.6%
Lulu;75;72;36;36;50;68.4;22;02.11;02.03;05.53;05.10;308.5;08.28;14.73k;396;76.5%;21.1%;22%
Lissandra;68;70;34;36;48.6;64.2;21;2.3;03.04;06.16;03.20;327.34.00;08.38;14.89k;382;70.4%;19.1%;21.3%
Elise;10;117;59;58;50.4;59.1;12;02.04;02.45;06.08;03.15;150.05.00;04.31;N/A;N/A;72.6%;19.2%;N/A
Ryze;111;16;10;6;62.5;59.1;10;03.28;02.21;04.34;04.16;299.06.00;8;14.29k;383;79%;33.3%;21.5%
Lucian;1;123;57;66;46.3;57.7;12;03.31;01.54;04.32;04.42;357.3;09.44;N/A;N/A;68.2%;29.1%;N/A
Trundle;24;89;53;36;59.6;52.6;17;01.25;1.7;07.38;05.24;82.39.00;02.13;10.68k;276;72.7%;7.5%;15.2%
Graves;29;83;48;35;57.8;52.1;14;03.32;02.23;05.34;04.29;208.28.00;05.54;14.24k;380;71.4%;26.5%;20.9%
Kindred;27;64;24;40;37.5;42.3;11;02.23;03.38;05.13;02.47;155.2;04.25;12.43k;340;71.5%;21.7%;19.5%
Braum;3;83;37;46;44.6;40;11;00.48;02.17;06.42;03.18;41.31.00;01.14;9.09k;250;73.3%;5.1%;14.3%
Fiora;47;39;19;20;48.7;40;11;02.56;02.41;03.18;02.38;315.21.00;08.42;14.68k;392;56.6%;25.3%;21.8%
Twisted Fate;56;27;18;9;66.7;38.6;10;02.41;02.37;06.07;03.41;16.25;09.12;16.54k;440;68.6%;20.4%;23.2%
