Champion;B;G;W;L;WR;PB%;By;K;D;A;KDA;CS;CSPM;G;GPM;KPAR;KS;GS
Ryze;27;6;2;4;33.3;100;3;1.5;1.5;03.07;03.18;344.07.00;08.39;15.45k;359;67.6%;24.3%;21.1%
Nidalee;28;5;3;2;60;100;5;2.8;2.2;7;04.45;215.4;05.54;15.16k;390;75.4%;21.5%;21.4%
Kindred;25;8;4;4;50;100;5;03.13;03.15;5;03.35;164.38.00;04.44;13.36k;361;82.3%;31.6%;20.3%
Ekko;9;23;14;9;60.9;97;11;02.13;02.14;05.09;04.15;291.05.00;08.02;14.31k;375;62.2%;18.4%;20.7%
Azir;13;17;11;6;64.7;90.9;8;03.06;02.28;06.05;05.03;332.05.00;09.16;15.35k;405;71.5%;25.1%;22.3%
Maokai;6;24;12;12;50;90.9;10;1.5;02.36;07.03;04.15;268.04.00;7.2;13.15k;353;75.6%;14%;20%
Lucian;10;17;6;11;35.3;81.8;10;03.11;02.06;04.28;03.20;344.22.00;09.26;15.58k;401;70.4%;28.9%;23.1%
Elise;7;18;7;11;38.9;75.8;10;02.11;2.5;05.23;03.18;152.5;04.29;13.34k;341;69.8%;21.2%;19.5%
Rek'Sai;3;20;12;8;60;69.7;11;1.7;1.5;07.55;06.17;168.55.00;05.17;12.66k;358;78.1%;14.3%;19.9%
Viktor;3;16;8;8;50;57.6;9;03.13;02.28;05.34;04.30;325.31.00;08.56;14.55k;383;74.6%;28.9%;21.8%
Bard;6;12;7;5;58.3;54.5;9;01.17;02.08;08.17;04.48;22.25.00;0.6;9.83k;263;81.2%;10.1%;14.6%
Braum;0;18;8;10;44.4;54.5;9;00.11;03.34;07.33;02.52;48.56.00;1.3;9.51k;255;76.1%;1.1%;14.5%
Caitlyn;5;11;5;6;45.5;48.5;6;03.36;02.13;04.09;04.32;303.55.00;09.21;14.05k;408;72.6%;32.7%;23.3%
Trundle;11;3;3;0;100;42.4;3;2;01.07;06.33;12.50;187.07.00;06.52;11.3k;395;67.6%;16.2%;19.8%
Ezreal;0;13;8;5;61.5;39.4;7;3;02.25;05.25;04.25;314.31.00;08.38;14.78k;394;69.4%;26.5%;21.9%
Varus;5;8;4;4;50;39.4;6;05.28;1;3;08.28;343.38.00;8.6;15.79k;395;69.2%;42.9%;22.2%
Sivir;5;8;7;1;87.5;39.4;4;6;01.13;06.25;11.29;412.15.00;10.18;19.01k;470;82.4%;40.3%;25.1%
Ashe;2;9;6;3;66.7;33.3;4;03.44;02.18;05.56;05.05;301.18.00;09.14;14.13k;411;77.9%;29.8%;22.5%
Swain;3;7;3;4;42.9;30.3;4;01.43;03.57;07.26;02.31;336;08.27;15.06k;370;77.3%;13.3%;21.5%
Nami;0;10;6;4;60;30.3;5;0.5;1.2;9.4;08.25;24.9;01.05;10.14k;264;81.1%;4.1%;14.7%
Twisted Fate;8;2;1;1;50;30.3;2;2.5;2;3.5;03.00;308;09.26;14.6k;420;60%;25%;23.4%
LeBlanc;8;2;1;1;50;30.3;2;3.5;2;2;03.15;211;7.2;11k;375;50%;31.8%;20.9%
Graves;0;9;5;4;55.6;27.3;6;03.18;02.29;05.18;04.00;192.07.00;05.46;13.11k;374;74.7%;27.5%;21.2%
Karma;1;7;4;3;57.1;24.2;7;01.26;2;07.29;04.07;63.11.00;1.4;12.23k;273;74%;7.8%;15.4%
Alistar;1;6;1;5;16.7;21.2;4;0.5;04.17;06.23;01.52;49;01.33;9k;244;77.6%;6.1%;14.8%
Taric;3;4;2;2;50;21.2;2;1;03.15;09.25;04.13;46.25.00;01.42;8.65k;265;89.1%;8.7%;15.1%
Fiora;2;2;2;0;100;12.1;1;1.5;2.5;2;01.40;390;09.23;17.45k;413;33.3%;14.3%;22.2%
Soraka;0;4;3;1;75;12.1;3;0;2.5;08.25;03.30;16.15;00.45;8.98k;256;63.5%;0%;13.9%
Fizz;0;4;1;3;25;12.1;4;02.15;04.25;05.15;01.53;232.15.00;6.7;11.33k;327;63.4%;17.1%;20%
Zilean;2;1;1;0;100;9.1;1;0;0;5;05.00;311;08.01;15.2k;372;50%;0%;20.2%
Kalista;0;3;1;2;33.3;9.1;2;04.07;03.07;03.33;03.03;340.33.00;08.05;15.83k;375;77.8%;40.7%;21.5%
Vladimir;0;3;1;2;33.3;9.1;3;02.07;2;4;03.23;293;08.11;12.47k;345;68%;20%;20.9%
Jhin;0;3;0;3;0;9.1;2;2;03.33;03.33;02.00;282;08.26;12.23k;341;61.5%;23.1%;21.4%
Zed;3;0;0;0;-;9.1;-;-;-;-;-;-;-;-;-;-;-;-
Thresh;2;1;0;1;0;9.1;1;0;3;2;01.07;27;01.26;6.7k;214;100%;0%;13.5%
Veigar;0;2;0;2;0;6.1;2;1;1.5;2;02.00;300;08.23;12.2k;335;60%;20%;21.1%
Tahm Kench;0;2;0;2;0;6.1;2;1;3.5;3.5;01.29;52.5;01.28;9.25k;225;75%;16.7%;14%
Gragas;0;2;0;2;0;6.1;1;1;4;2;01.15;113;03.29;9.55k;278;60%;20%;18.4%
Anivia;0;2;2;0;100;6.1;1;3;1;11;14.00;290.5;08.17;15.1k;404;68.3%;14.6%;20.2%
Aurelion Sol;0;2;0;2;0;6.1;2;2;3.5;3.5;01.57;306;07.58;13.55k;336;55%;20%;21.4%
Poppy;0;2;1;1;50;6.1;2;2;3;6;03.07;243;07.17;13.4k;373;53.3%;13.3%;20.3%
Twitch;0;2;0;2;0;6.1;2;2;5.5;1.5;01.04;271;08.02;11.35k;336;63.6%;36.4%;22.3%
Yasuo;0;1;0;1;0;3;1;1;5;1;00.40;422;10.15;16.4k;395;25%;12.5%;24.9%
Kha'Zix;0;1;0;1;0;3;1;0;3;0;00.00;264;4.5;18.2k;310;0%;0%;19.4%
Rumble;0;1;0;1;0;3;1;1;3;7;03.07;334;08.43;13.7k;346;88.9%;11.1%;21.2%
Jayce;0;1;0;1;0;3;1;5;2;2;03.50;386;09.45;16.5k;404;100%;71.4%;23.4%
Lulu;0;1;0;1;0;3;1;1;4;4;01.25;246;09.28;10.4k;375;83.3%;16.7%;21.2%
Tristana;0;1;0;1;0;3;1;0;2;3;01.50;518;09.24;21.4k;365;75%;0%;22.9%
Lee Sin;0;1;1;0;100;3;1;3;2;7;05.00;198;03.49;18.5k;326;83.3%;25%;18.3%
Shen;0;1;0;1;0;3;1;1;3;3;01.33;297;08.46;11.6k;330;66.7%;16.7%;22.1%
Amumu;0;1;1;0;100;3;1;0;3;15;05.00;169;04.27;15.4k;389;88.2%;0%;19.4%
Renekton;0;1;0;1;0;3;1;1;4;1;00.50;188;06.56;8.8k;307;33.3%;16.7%;20.8%
Blitzcrank;0;1;0;1;0;3;1;0;4;2;00.50;40;01.14;7.9k;225;33.3%;0%;13.9%
Zyra;0;1;1;0;100;3;1;2;0;6;08.00;37;01.07;10.4k;302;57.1%;14.3%;15.3%
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
