Champion;B;G;W;L;WR;PB%;By;K;D;A;KDA;CS;CSPM;G;GPM;KPAR;KS;GS
Alistar;50;57;35;22;61.4;95.5;12;00.53;02.58;09.01;03.54;39.21.00;1.2;8.51k;260;75.2%;4.3%;14.7%
Kalista;40;56;32;24;57.1;85.7;10;04.32;02.23;05.19;04.08;277.08.00;08.02;N/A;N/A;68.2%;32.4%;N/A
Lulu;61;31;18;13;58.1;82.1;13;03.17;2.1;07.16;05.14;268.19.00;08.09;13.6k;390;77.8%;21.7%;21.8%
Elise;13;65;41;24;63.1;69.6;8;03.38;02.43;06.42;04.27;127.06.00;04.06;N/A;N/A;68.7%;21.8%;N/A
Trundle;15;61;34;27;55.7;67.9;18;01.43;02.05;07.03;04.13;159.07.00;05.07;N/A;N/A;70.1%;11.8%;N/A
Poppy;16;59;25;34;42.4;67;14;02.09;02.14;05.35;03.11;226.58.00;06.37;N/A;N/A;58.1%;14.8%;N/A
Gangplank;55;18;5;13;27.8;65.2;9;02.17;02.11;05.22;03.50;303.01.00;08.44;14.73k;411;68.6%;20.1%;23.9%
Corki;30;37;16;21;43.2;59.8;15;03.59;2.3;04.35;03.28;290.11.00;09.15;N/A;N/A;64.1%;30.6%;N/A
Ezreal;5;60;32;28;53.3;58;13;03.17;02.02;05.37;04.23;275.8;08.01;N/A;N/A;70%;26%;N/A
Nidalee;46;18;9;9;50;57.1;5;02.56;03.06;05.33;02.58;138.22.00;4.5;11.22k;365;69.3%;22.4%;20.3%
Gragas;15;44;21;23;47.7;52.7;8;02.04;02.57;6.2;03.05;139.02.00;04.19;N/A;N/A;69.1%;14.4%;N/A
Nautilus;7;47;24;23;51.1;48.2;14;01.36;02.43;06.29;03.39;200.23.00;06.27;11.25k;329;68.1%;12.8%;19.1%
Lucian;0;53;25;28;47.2;47.3;12;04.32;2.3;04.53;04.07;286.42.00;09.04;N/A;N/A;74.9%;34.8%;N/A
Zed;27;23;17;6;73.9;44.6;7;05.35;02.05;04.22;06.19;311.05.00;8.7;15.01k;420;65.3%;36.5%;22.9%
Thresh;6;44;29;15;65.9;44.6;9;01.31;02.23;8.8;04.36;39.45.00;01.11;N/A;N/A;72%;6.7%;N/A
Braum;2;47;16;31;34;43.8;10;00.28;03.06;07.38;02.37;48.04.00;1.3;N/A;N/A;71.8%;2.7%;N/A
Ryze;36;9;4;5;44.4;40.2;5;04.56;3;06.18;03.44;14.33;08.28;12.84k;398;63.3%;27.9%;22.1%
Viktor;17;27;10;17;37;39.3;6;03.33;02.33;04.19;03.05;295.03.00;09.18;N/A;N/A;69.6%;28.6%;N/A
Lissandra;14;28;11;17;39.3;37.5;12;03.11;03.04;05.32;03.05;275.15.00;08.17;12.85k;382;67.2%;22.7%;21.8%
Zilean;33;8;2;6;25;36.6;5;1;02.15;5;03.43;306.13.00;08.58;13k;364;71.6%;11.9%;22%
Fiora;16;24;14;10;58.3;35.7;9;04.23;02.29;04.29;03.55;259.11.00;08.11;13.12k;391;59.3%;28%;21.7%
