Champion;B;G;W;L;WR;PB%;By;K;D;A;KDA;CS;CSPM;G;GPM;KPAR;KS;GS
Alistar;59;129;64;65;49.6;83.2;13;00.47;02.49;8.5;04.00;41.36.00;01.16;N/A;N/A;72.8%;3.8%;N/A
Kalista;106;78;36;42;46.2;81.4;16;04.21;02.59;05.32;03.52;298.29.00;08.41;N/A;N/A;71.4%;29.8%;N/A
Lulu;120;64;28;36;43.8;81.4;21;2.2;02.27;06.25;04.13;276.28.00;08.26;N/A;N/A;72.8%;19%;N/A
Poppy;59;125;69;56;55.2;81.4;17;03.08;02.26;06.45;04.03;261.27.00;N/A;N/A;N/A;64.5%;18.9%;N/A
Braum;23;125;67;58;53.6;65.5;16;00.42;03.35;09.05;03.21;54.26.00;01.45;N/A;N/A;69.6%;3.1%;N/A
Nidalee;98;45;27;18;60;63.3;15;03.18;02.13;05.42;04.03;173.42.00;05.25;N/A;N/A;71.7%;26.5%;N/A
Corki;56;86;35;51;40.7;62.8;20;03.34;03.05;04.03;03.18;324.05.00;N/A;N/A;N/A;68.5%;31%;N/A
Graves;24;110;52;58;47.3;59.3;19;03.09;02.36;06.18;04.15;177.25.00;05.05;N/A;N/A;70%;24.4%;N/A
Gangplank;113;16;8;8;50;57.1;9;04.56;02.31;06.09;04.43;334.5;09.18;N/A;N/A;74.9%;33.3%;N/A
Ryze;103;25;14;11;56;56.6;11;3.2;02.04;05.28;04.16;296.28.00;08.14;N/A;N/A;64.6%;24.4%;N/A
Lissandra;64;61;36;25;59;55.3;18;03.14;02.54;07.32;04.20;297;08.24;N/A;N/A;68.3%;19.4%;N/A
Trundle;21;99;51;48;51.5;53.1;24;01.24;02.31;07.24;03.49;135.05.00;N/A;N/A;N/A;67.9%;10.4%;N/A
Lucian;4;116;64;52;55.2;53.1;17;04.13;02.34;05.03;04.14;325.41.00;N/A;N/A;N/A;67.4%;28.7%;N/A
Gragas;44;73;43;30;58.9;51.8;16;02.39;02.33;08.39;04.28;158.24.00;N/A;N/A;N/A;72.2%;14.4%;N/A
Kindred;62;51;28;23;54.9;50;14;3.1;03.01;06.16;03.55;144.16.00;N/A;N/A;N/A;70.9%;23.7%;N/A
LeBlanc;60;46;24;22;52.2;46.9;11;04.04;2.3;06.12;04.24;276.16.00;08.27;N/A;N/A;65.2%;27%;N/A
Nautilus;15;78;46;32;59;41.2;21;1.9;2.9;08.04;03.29;04.04;N/A;N/A;N/A;67.6%;13.4%;N/A
Ezreal;5;88;43;45;48.9;41.2;22;04.05;02.22;05.35;04.05;298.08.00;N/A;N/A;N/A;73.7%;29.9%;N/A
Elise;8;77;33;44;42.9;37.6;19;02.48;02.49;06.21;03.48;134.16.00;04.03;N/A;N/A;70.5%;20.1%;N/A
Thresh;16;64;35;29;54.7;35.4;13;01.09;03.37;8.8;03.19;40.44.00;N/A;N/A;N/A;69.4%;5%;N/A
Sivir;11;62;37;25;59.7;32.3;15;04.17;02.42;06.47;04.23;335.1;9.3;N/A;N/A;75%;27.6%;N/A
Azir;22;48;26;22;54.2;31;12;03.54;02.44;06.15;04.37;332.42.00;09.37;N/A;N/A;73.3%;26.8%;N/A
Rek'Sai;10;56;24;32;42.9;29.2;16;02.24;03.08;07.07;03.33;144.08.00;04.36;N/A;N/A;75.5%;15.6%;N/A
Twisted Fate;47;18;13;5;72.2;28.8;8;3.5;03.06;07.39;03.56;297.29.00;08.25;N/A;N/A;68.1%;21.9%;N/A
Tahm Kench;27;26;13;13;50;23.5;10;02.31;02.54;06.17;03.18;190.02.00;05.41;N/A;N/A;63.6%;18.2%;N/A
Quinn;26;27;13;14;48.1;23.5;13;04.29;03.36;05.07;03.03;282.15.00;N/A;N/A;N/A;69.3%;30.1%;N/A
Fiora;20;31;12;19;38.7;22.6;9;03.14;03.11;3.1;02.15;291.58.00;8.5;N/A;N/A;61.8%;29%;N/A
Kog'Maw;31;20;7;13;35;22.6;10;5.2;3.4;05.25;03.07;339.55.00;09.16;N/A;N/A;74.1%;36.9%;N/A
Viktor;6;39;17;22;43.6;19.9;12;03.33;03.07;05.09;03.01;321.25.00;09.24;N/A;N/A;69.6%;28.9%;N/A
Maokai;3;40;15;25;37.5;19;11;02.38;03.23;06.08;03.11;260.3;07.22;N/A;N/A;70.7%;18.2%;N/A
Miss Fortune;21;17;9;8;52.9;16.8;9;04.35;02.53;07.18;04.55;313.29.00;09.04;N/A;N/A;74.8%;28.2%;N/A
Lee Sin;11;26;12;14;46.2;16.4;8;03.05;03.13;06.58;03.38;126.05.00;03.45;N/A;N/A;68.8%;19.8%;N/A
Tristana;2;33;14;19;42.4;15.5;10;03.18;02.33;03.12;03.10;15.04;09.25;N/A;N/A;60.6%;30.6%;N/A
Ekko;3;29;14;15;48.3;14.2;14;02.31;02.28;06.06;03.50;11.34;07.44;N/A;N/A;65.8%;19.1%;N/A
Bard;2;24;12;12;50;11.5;10;01.36;03.28;08.38;03.25;28.03.00;01.13;N/A;N/A;69.8%;7.2%;N/A
Zed;10;11;8;3;72.7;9.3;5;04.31;03.27;06.13;03.34;302.18.00;08.12;N/A;N/A;61.3%;24.9%;N/A
Varus;5;15;7;8;46.7;8.8;7;2.4;03.13;05.27;03.20;335;09.15;N/A;N/A;65%;20.3%;N/A
Kassadin;1;15;11;4;73.3;7.1;6;04.53;03.27;6;04.07;277.27.00;08.34;N/A;N/A;67.5%;29.1%;N/A
Morgana;0;15;6;9;40;6.6;7;1.4;03.33;06.33;02.31;157.33.00;04.28;N/A;N/A;64.1%;11.6%;N/A
Ahri;2;13;7;6;53.8;6.6;7;03.15;03.25;04.38;03.05;304.15.00;08.58;N/A;N/A;57.6%;24.1%;N/A
Gnar;2;13;7;6;53.8;6.6;5;02.46;03.17;05.23;03.18;297.54.00;08.16;N/A;N/A;51.5%;16.5%;N/A
Jhin;2;12;4;8;33.3;6.2;6;03.42;03.32;06.07;03.11;325.17.00;8.3;N/A;N/A;75.7%;28.5%;N/A
Dr. Mundo;2;10;3;7;30;5.3;7;1.5;3.6;3.6;01.42;171.4;05.27;N/A;N/A;60%;17.6%;N/A
Rammus;1;10;3;7;30;4.9;7;2;3.8;5.3;02.32;236.6;07.07;N/A;N/A;64.6%;17.7%;N/A
Lux;1;9;2;7;22.2;4.4;6;02.56;03.29;06.44;03.12;300.56.00;08.06;14.12k;378;74.3%;21.1%;22.3%
Evelynn;4;5;4;1;80;4;2;3.4;2;8.2;06.20;136.8;04.05;N/A;N/A;69%;20.2%;N/A
Vayne;0;9;4;5;44.4;4;5;04.29;2;04.22;04.05;265.56.00;08.01;N/A;N/A;65.8%;31.5%;N/A
Jinx;0;7;4;3;57.1;3.1;4;03.43;02.26;03.29;04.02;351.29.00;10.29;N/A;N/A;74.6%;38.1%;N/A
Twitch;4;3;1;2;33.3;3.1;2;6;03.07;04.07;04.03;339.07.00;08.37;N/A;N/A;82.9%;51.4%;N/A
Rengar;1;5;2;3;40;2.7;3;3.6;2.4;3.2;03.23;112.2;04.24;10.12k;346;59.6%;31.6%;20%
Orianna;0;5;2;3;40;2.2;3;3;1.2;6.2;08.07;319.2;09.11;N/A;N/A;79.3%;25.9%;N/A
Janna;0;5;1;4;20;2.2;3;0.6;3.8;5.6;02.03;22.8;01.04;N/A;N/A;75.6%;7.3%;N/A
Kennen;0;5;1;4;20;2.2;3;2.2;2.6;3.8;02.31;215.8;05.48;N/A;N/A;54.5%;20%;N/A
Rumble;2;3;0;3;0;2.2;2;1;5;02.07;00.53;185.07.00;5.5;N/A;N/A;53.3%;20%;N/A
Sejuani;0;4;0;4;0;1.8;3;0.5;3;8.5;03.00;181;04.01;N/A;N/A;67.9%;3.8%;N/A
Shen;1;2;0;2;0;1.3;2;0;2;3;01.50;122.5;04.23;8.05k;252;85.7%;0%;16.1%
Fizz;0;3;1;2;33.3;1.3;2;05.07;02.33;02.33;03.00;324.07.00;08.38;N/A;N/A;65.6%;43.8%;N/A
Ashe;0;3;3;0;100;1.3;3;05.33;01.07;7;18.50;344;09.23;N/A;N/A;77.1%;33.3%;N/A
Cassiopeia;0;3;1;2;33.3;1.3;2;2;02.33;3;02.14;328;09.28;N/A;N/A;55.6%;22.2%;N/A
Syndra;0;2;1;1;50;0.9;1;3;2.5;8.5;04.59;405.5;08.45;17.75k;370;74.2%;19.4%;21.3%
Kayle;0;2;0;2;0;0.9;2;0.5;5;4;01.30;187.5;07.14;N/A;N/A;60%;6.7%;N/A
Blitzcrank;0;2;1;1;50;0.9;1;2.5;3;9;04.23;44.5;01.28;N/A;N/A;67.6%;14.7%;N/A
Hecarim;0;2;1;1;50;0.9;2;3;3;7;03.33;235;07.27;12.4k;384;76.9%;23.1%;21%
Irelia;0;1;0;1;0;0.4;1;2;4;1;01.15;265;09.06;N/A;N/A;50%;33.3%;N/A
Malphite;0;1;0;1;0;0.4;1;3;3;7;03.33;259;07.43;12.7k;364;83.3%;25%;22.2%
Jax;1;0;0;0;-;0.4;-;-;-;-;-;-;-;-;-;-;-;-
Kha'Zix;0;1;0;1;0;0.4;1;0;5;3;01.00;121;04.14;N/A;N/A;42.9%;0%;N/A
Jayce;0;1;0;1;0;0.4;1;5;5;6;02.20;358;09.01;N/A;N/A;64.7%;29.4%;N/A
Skarner;1;0;0;0;-;0.4;-;-;-;-;-;-;-;-;-;-;-;-
Master Yi;0;1;1;0;100;0.4;1;7;6;6;02.17;196;04.48;N/A;N/A;86.7%;46.7%;N/A
Nunu;0;1;1;0;100;0.4;1;0;1;6;06.00;109;04.31;9.4k;337;75%;0%;18.4%
Veigar;0;1;0;1;0;0.4;1;1;3;2;01.00;253;08.16;N/A;N/A;75%;25%;N/A
Zilean;0;1;0;1;0;0.4;1;2;5;9;02.20;298;08.23;N/A;N/A;78.6%;14.3%;N/A
Yasuo;0;1;0;1;0;0.4;1;0;1;1;01.00;262;08.38;N/A;N/A;100%;0%;N/A
Nocturne;0;1;1;0;100;0.4;1;2;2;8;05.00;98;03.24;10.4k;344;66.7%;13.3%;17.4%
Renekton;0;1;1;0;100;0.4;1;5;4;8;03.25;341;09.45;N/A;N/A;65%;25%;N/A
Anivia;0;1;0;1;0;0.4;1;0;2;3;01.50;230;07.52;9.3k;304;75%;0%;20.8%
Olaf;0;1;0;1;0;0.4;1;1;5;4;01.00;314;07.01;14.4k;321;62.5%;12.5%;20.7%
Karma;0;1;0;1;0;0.4;1;0;2;1;00.50;37;01.39;N/A;N/A;33.3%;0%;N/A
Soraka;0;1;0;1;0;0.4;1;0;3;3;01.00;11;00.34;7.8k;240;37.5%;0%;14.7%
