Champion;B;G;W;L;WR;PB%;By;K;D;A;KDA;CS;CSPM;G;GPM;KPAR;KS;GS
Vladimir;159;36;18;18;50;84.1;16;04.22;02.19;5.5;04.43;317.17.00;08.59;14.71k;398;68.6%;29.8%;22.3%
Rek'Sai;68;109;64;45;58.7;76.3;18;02.38;02.25;09.06;05.31;166.02.00;04.44;13.47k;361;74%;15.9%;19.7%
Braum;23;139;78;61;56.1;69.8;18;00.58;03.37;10.27;03.22;52.22.00;01.38;10.12k;267;70%;3.7%;14.5%
Sivir;48;109;60;49;55;67.7;17;04.27;02.39;07.24;04.49;352.11.00;09.32;16.29k;431;74.9%;27.1%;23.8%
Ryze;127;29;13;16;44.8;67.2;14;03.12;03.07;05.52;03.09;318.17.00;08.26;14.81k;384;63.7%;21.1%;21.6%
Karma;57;87;37;50;42.5;62.1;22;01.14;03.08;08.17;03.29;83.48.00;02.31;10.32k;286;74%;9.5%;16.2%
Trundle;49;89;52;37;58.4;59.5;23;02.23;02.16;08.12;05.01;205.16.00;05.42;12.95k;343;67.5%;12.4%;18.8%
Azir;46;72;34;38;47.2;50.9;14;03.24;03.15;05.06;03.02;327.15.00;09.04;14.56k;402;67.2%;26.2%;22.5%
Maokai;38;80;45;35;56.3;50.9;12;02.38;2.5;08.04;04.01;265.34.00;07.04;13.5k;359;68.3%;13.5%;19.9%
LeBlanc;79;34;22;12;64.7;48.7;12;06.08;02.56;06.06;04.59;291.03.00;08.06;15.16k;399;66.8%;32.3%;21.4%
Viktor;13;99;44;55;44.4;48.3;16;04.28;03.19;05.16;03.11;336.08.00;09.09;15.35k;397;68.2%;30.6%;22.5%
Hecarim;34;73;37;36;50.7;46.1;18;04.11;03.11;07.27;03.53;161.18.00;4.4;13.15k;360;72.5%;24.5%;19.9%
Jhin;16;83;40;43;48.2;42.7;14;4.3;03.07;07.21;04.15;278.49.00;7.5;14.44k;389;69.2%;26.8%;21.6%
Nidalee;76;21;9;12;42.9;41.8;8;04.02;03.35;07.57;04.19;189.24.00;05.32;14.71k;383;74.6%;24.1%;21%
Lucian;28;67;28;39;41.8;40.9;18;3.9;02.46;05.27;03.56;324.48.00;09.11;15.2k;408;69.2%;30.8%;23%
Malzahar;56;32;18;14;56.3;37.9;15;04.37;02.59;07.56;04.45;277.28.00;08.19;13.98k;392;71.7%;24.7%;21.3%
Ekko;15;73;28;45;38.4;37.9;15;03.26;03.22;06.06;03.02;284.08.00;07.44;14.03k;367;64.3%;21.6%;20.8%
Graves;6;81;30;51;37;37.5;17;04.19;03.21;05.22;03.21;183.22.00;05.28;13.8k;367;68.7%;28.9%;20.9%
Kindred;49;36;23;13;63.9;36.6;14;03.34;03.32;06.47;03.23;175.01.00;05.01;14.12k;373;64.8%;20.3%;20.2%
Bard;24;60;30;30;50;36.2;13;01.32;03.38;09.35;03.32;24.18.00;01.06;9.66k;264;71.7%;6.7%;14.7%
Gragas;16;68;33;35;48.5;36.2;14;02.21;03.02;07.47;03.54;146.43.00;04.07;12.18k;338;67.9%;13.2%;19%
Thresh;29;54;28;26;51.9;35.8;11;01.38;3.5;10.09;03.16;43.01.00;01.18;9.46k;261;70.4%;6.2%;14.4%
Ezreal;8;74;38;36;51.4;35.3;16;04.11;02.59;06.05;04.16;297.38.00;8.1;14.68k;400;70%;29.5%;22.3%
Twisted Fate;43;33;19;14;57.6;32.8;11;04.12;03.01;07.37;04.26;297.27.00;8.1;15.74k;429;68.5%;25.5%;22.8%
Alistar;18;56;29;27;51.8;31.9;15;0.5;03.43;10.11;03.38;46.36.00;01.21;9.92k;260;70%;3.4%;14.4%
Lissandra;32;41;22;19;53.7;31.5;18;03.24;03.51;08.23;03.15;297.51.00;08.28;14.47k;383;67.1%;19.6%;21%
Shen;26;45;20;25;44.4;30.6;13;02.22;02.44;08.42;04.34;276.31.00;07.34;13.92k;370;70.6%;14.7%;20.5%
Ashe;12;56;32;24;57.1;29.3;15;04.19;02.38;06.34;04.26;308.8;8.5;15.12k;416;67.4%;25.2%;22.4%
Swain;31;33;19;14;57.6;27.6;13;02.52;02.33;6.3;04.18;284.33.00;08.23;13.74k;379;62.6%;17.8%;20.8%
Elise;11;47;19;28;40.4;25;14;02.15;03.38;06.04;03.15;140.53.00;04.09;12.71k;334;67.9%;17.8%;19.1%
Irelia;13;37;20;17;54.1;21.6;10;04.26;02.57;04.46;03.24;276.24.00;08.22;13.82k;391;56.2%;26.1%;21.4%
Caitlyn;26;21;9;12;42.9;20.3;8;03.29;3.1;05.19;03.14;343.9;09.27;15.59k;420;68.5%;26.5%;23.6%
Rumble;17;28;14;14;50;19.4;9;03.43;04.14;07.19;02.47;271.08.00;07.27;14.16k;381;63.4%;21.3%;21%
Gnar;9;30;14;16;46.7;16.8;8;02.27;3.2;06.13;03.03;270.07.00;7.4;13.56k;372;58.5%;15.8%;20.7%
Gangplank;17;18;11;7;61.1;15.1;8;04.39;02.39;07.34;05.14;293.28.00;08.39;16.32k;445;64.4%;24.9%;23.3%
Fizz;9;23;12;11;52.2;13.8;12;04.14;03.36;06.13;03.34;258.27.00;6.8;13.89k;366;64.9%;24.6%;20.4%
Taliyah;18;14;7;7;50;13.8;5;04.33;04.33;07.33;03.16;306.36.00;09.04;14.26k;402;65.5%;23.7%;21.9%
Twitch;7;20;12;8;60;11.6;8;5.2;03.25;05.05;03.15;303.1;08.12;15.42k;413;63.5%;32.2%;22.6%
