Champion;B;G;W;L;WR;PB%;By;K;D;A;KDA;CS;CSPM;G;GPM;KPAR;KS;GS
Kalista;38;38;18;20;47.4;84.4;11;04.32;02.08;04.42;04.20;296.29.00;08.49;14.37k;412;72.6%;35.9%;22.9%
Lulu;51;24;15;9;62.5;83.3;13;02.29;02.11;07.54;06.16;249.38.00;07.52;12.84k;387;74.2%;17.3%;21.3%
Nidalee;49;24;14;10;58.3;81.1;10;03.03;02.46;06.15;03.41;167.28.00;05.28;12.84k;376;74.2%;23.2%;20.6%
Corki;25;47;27;20;57.4;80;20;04.17;02.08;05.34;05.42;325.29.00;9;15.04k;417;74%;30.6%;22.9%
Gangplank;55;17;9;8;52.9;80;14;03.22;02.22;04.41;04.37;297.35.00;08.59;15.1k;436;73.7%;28.7%;24.3%
Elise;18;43;17;26;39.5;67.8;12;02.26;02.56;05.14;03.29;131.26.00;04.04;11.87k;329;69.4%;21.2%;19%
Graves;34;26;14;12;53.8;66.7;14;03.15;02.08;05.38;04.11;228.27.00;06.48;13.37k;380;72.8%;26.9%;21.4%
Alistar;14;45;19;26;42.2;65.6;11;0.2;03.11;07.11;02.35;33.49.00;01.37;8.51k;245;72.5%;2%;14.2%
Poppy;25;33;14;19;42.4;64.4;13;02.16;02.24;06.06;03.49;216.39.00;06.08;12.63k;355;67.4%;15.1%;19.8%
Lucian;2;54;30;24;55.6;62.2;10;04.33;02.29;04.36;04.38;312.43.00;09.17;14.53k;426;72.7%;38%;23.9%
Fiora;33;20;16;4;80;58.9;11;03.05;02.15;3.6;04.20;243.15.00;08.16;12.63k;404;51.6%;23.6%;21.4%
Braum;7;35;7;28;20;46.7;12;00.54;3.6;07.14;02.13;46.06.00;01.24;9.44k;253;69.5%;4.9%;14.7%
Rek'Sai;3;31;18;13;58.1;37.8;10;01.48;02.19;07.35;04.03;132.32.00;04.22;11.6k;335;75.9%;12.7%;18.6%
Ryze;23;11;2;9;18.2;37.8;8;02.18;03.27;03.36;02.09;237.09.00;07.31;11.41k;352;56%;22%;20.8%
Lissandra;16;17;11;6;64.7;36.7;14;02.06;02.53;06.35;03.33;291.16.00;08.44;13.29k;386;65%;15.9%;21.2%
Gragas;5;27;12;15;44.4;35.6;10;01.26;02.52;08.03;03.53;150.26.00;4.1;12.29k;335;71.2%;10.1%;18.7%
Janna;5;24;17;7;70.8;32.2;8;00.13;1.5;10.58;07.14;16.08;00.48;8.84k;266;77.6%;0.9%;14.4%
Trundle;2;26;10;16;38.5;31.1;15;01.05;03.13;5.5;02.25;169.21.00;4.9;10.53k;305;68.7%;7.3%;18.2%
Twisted Fate;12;15;8;7;53.3;30;9;03.13;2.6;07.27;04.25;262.6;08.39;13.51k;411;81.1%;22.2%;22.5%
Tahm Kench;21;6;3;3;50;30;6;01.33;03.07;6.5;03.34;239.23.00;06.03;13.18k;333;71.2%;12.1%;19.1%
Bard;4;22;13;9;59.1;28.9;7;01.22;02.36;8;04.13;22;01.03;9.25k;266;74%;6.9%;14.8%
Kog'Maw;16;7;3;4;42.9;25.6;5;05.29;02.14;04.57;04.59;346.26.00;09.22;16.9k;431;72.6%;38.9%;24.5%
Kindred;11;11;5;6;45.5;24.4;5;02.31;03.36;05.36;02.16;152.55.00;4.3;11.87k;335;65%;17.1%;19.4%
