Champion;B;G;W;L;WR;PB%;By;K;D;A;KDA;CS;CSPM;G;GPM;KPAR;KS;GS
Vladimir;153;43;23;20;53.5;89.9;14;03.49;02.31;05.33;04.41;294.35.00;09.16;13.3k;397;70.3%;29.1%;22.4%
Rek'Sai;54;142;69;73;48.6;89.9;14;02.01;02.04;07.25;04.54;147.36.00;04.06;12.4k;343;73.8%;16%;19.3%
Karma;47;142;69;73;48.6;86.7;20;01.25;02.24;08.06;04.20;78.29.00;02.23;9.93k;282;76.6%;7.7%;16.2%
Sivir;48;101;57;44;56.4;68.3;11;03.26;02.04;06.29;05.57;327.35.00;09.31;14.82k;422;73.4%;26.1%;23.6%
Ryze;116;27;13;14;48.1;65.6;12;03.21;3.3;05.48;02.52;286.18.00;08.17;13.99k;380;67.5%;22.9%;21.3%
Azir;97;46;26;20;56.5;65.6;11;03.09;02.04;04.41;04.07;316.37.00;09.25;13.98k;409;66.6%;27.4%;22.9%
Braum;19;109;49;60;45;58.7;11;00.36;03.19;07.55;03.24;45.22.00;01.29;8.91k;257;69.8%;3.2%;14.6%
Trundle;50;76;36;40;47.4;57.8;13;02.12;02.45;05.41;03.31;232.59.00;07.01;12.52k;356;65.8%;15.9%;20.2%
Ashe;23;84;49;35;58.3;49.1;11;03.02;02.26;06.14;04.27;268.19.00;08.25;13.37k;391;70.8%;24.4%;22%
Irelia;29;73;38;35;52.1;46.8;10;03.27;03.12;04.39;02.31;247.28.00;07.27;12.82k;378;61.4%;27.7%;21.3%
Lucian;11;90;38;52;42.2;46.3;12;3.3;02.04;04.29;03.52;300.19.00;08.46;14.03k;396;68.3%;31.4%;22.8%
Nidalee;57;43;24;19;55.8;45.9;8;02.58;02.12;07.12;05.41;170.07.00;05.34;12.97k;377;78%;21.6%;20.8%
Shen;57;42;23;19;54.8;45.4;9;02.14;02.33;7.5;05.19;235.02.00;06.46;12.78k;351;77.1%;14.5%;19.9%
Viktor;12;87;42;45;48.3;45.4;10;04.01;02.36;04.37;03.56;331.29.00;9;14.8k;402;71.7%;34.3%;23.1%
Gragas;2;85;51;34;60;39.9;12;02.13;02.38;07.36;04.23;141.29.00;3.9;12.09k;334;68.3%;13%;18.8%
Bard;30;56;32;24;57.1;39.4;11;01.33;02.21;09.35;04.46;19.2;00.53;9.52k;264;72.7%;6.8%;14.9%
Cassiopeia;27;44;23;21;52.3;32.6;9;04.07;02.27;05.34;04.13;310.08.00;8.6;14.35k;399;74.2%;32.1%;22.6%
Kindred;46;23;7;16;30.4;31.7;10;03.01;02.57;04.35;03.11;148.22.00;04.25;11.93k;342;69.9%;26.2%;20%
Malzahar;43;20;12;8;60;28.9;8;4.1;02.45;6.2;04.20;272;08.36;13.4k;392;75.5%;30%;21.9%
Swain;32;28;15;13;53.6;27.5;10;02.32;02.39;06.15;03.37;287.01.00;08.04;13.82k;369;68.3%;19.6%;21.1%
Elise;5;55;28;27;50.9;27.5;13;02.15;02.31;05.05;03.34;125.22.00;04.12;11.2k;334;67.5%;17.3%;19.1%
Gnar;1;56;29;27;51.8;26.1;11;03.04;03.35;05.31;02.56;231.2;07.12;12.4k;360;59.2%;20.7%;20.5%
Lissandra;28;29;14;15;48.3;26.1;11;02.48;04.14;6;02.04;312;8.3;14.5k;385;63.6%;18.6%;21.5%
Jax;28;26;14;12;53.8;24.8;4;03.21;02.31;02.28;02.02;259.28.00;08.31;12.85k;393;48.2%;28.9%;22.4%
Jhin;3;50;18;32;36;24.3;9;03.34;02.18;05.18;04.12;247.06.00;7.1;12.46k;358;68.1%;24.7%;21%
Anivia;35;16;7;9;43.8;23.4;5;02.19;02.34;04.15;03.06;285.25.00;09.19;12.44k;383;69.3%;25.5%;22.4%
Zyra;22;29;13;16;44.8;23.4;6;1.1;03.07;6.1;02.35;28.55.00;01.15;10.65k;278;63.9%;9.8%;15.9%
Soraka;23;25;12;13;48;22;7;00.32;2.8;08.28;03.07;13.28;00.38;8.47k;253;68.7%;2.6%;14.2%
Ezreal;0;48;24;24;50;22;11;03.42;02.08;5.4;04.23;289.33.00;7.9;14.3k;390;70.1%;27.2%;21.9%
Hecarim;20;27;14;13;51.9;21.6;13;03.56;3;06.11;03.22;162.52.00;4.6;12.44k;352;71.9%;26.4%;20.1%
Caitlyn;3;38;19;19;50;18.8;9;03.47;02.53;04.32;03.08;319.21.00;08.54;15.01k;402;60.4%;26.9%;22.3%
Maokai;8;33;14;19;42.4;18.8;8;01.36;03.09;07.16;03.03;219.04.00;06.32;11.96k;324;69.3%;11.6%;19%
Olaf;12;27;13;14;48.1;17.9;8;03.25;03.29;06.37;03.19;139.26.00;04.33;11.97k;338;74.8%;23.1%;19.2%
Taliyah;23;15;8;7;53.3;17.4;6;04.27;3;05.33;03.33;275.13.00;8.5;13.07k;404;68.8%;30.2%;22%
Zilean;11;25;17;8;68;16.5;8;2.8;01.24;06.52;07.52;306.16.00;8.9;13.75k;400;74.9%;22.5%;22.2%
Twitch;27;7;5;2;71.4;15.6;2;06.26;03.43;05.14;03.21;280.29.00;07.46;15.51k;413;65.3%;34.7%;22.5%
Rumble;18;16;9;7;56.3;15.6;5;03.15;04.09;6.5;02.50;249.28.00;07.28;13.14k;384;59.7%;17.7%;21%
Graves;1;32;8;24;25;15.1;10;02.09;02.53;04.18;02.31;166.5;05.37;11.73k;350;66.9%;23.8%;20.9%
Fiora;14;18;9;9;50;14.7;5;03.12;03.06;02.11;01.58;285.34.00;08.01;13.83k;389;47.3%;26.6%;22.4%
Ekko;11;19;7;12;36.8;13.8;9;04.14;03.08;05.32;03.37;296.26.00;07.38;15.02k;374;66.2%;27.3%;21.3%
Alistar;0;27;16;11;59.3;12.4;8;00.22;03.21;8.7;03.17;36.33.00;1;9.18k;256;69.7%;1.7%;14.2%
