NAME;TEAM;POSITION;KDA (RATIO);KILLS (TOTAL);DEATHS (TOTAL);ASSISTS (TOTAL);KILL PARTICIPATION;CS (PER MINUTE);CS (TOTAL);MINUTES PLAYED;GAMES PLAYED;;;;;;;;;;;;;;
Albis;AHQ;Support;5.7;15;48;257;66.3%;1.3;1.225;972;28;;;;;;;;;;;;;;
AN;AHQ;ADC;5.8;89;41;150;68.1%;8.9;7.647;861;24;;;;;;;;;;;;;;
Chawy;AHQ;Mid;6.4;61;25;98;70.7%;8.8;4.723;536;15;;;;;;;;;;;;;;
Mountain;AHQ;Jungle;3.7;93;71;172;64.6%;4.6;4.464;972;28;;;;;;;;;;;;;;
RD;AHQ;ADC;6.9;29;7;19;81.4%;8.5;951;112;4;;;;;;;;;;;;;;
Westdoor;AHQ;Mid;6.3;50;19;69;64.3%;8.6;3.741;436;13;;;;;;;;;;;;;;
Ziv;AHQ;Top;6.6;73;41;196;65.6%;7.4;7.153;972;28;;;;;;;;;;;;;;
AJ;CGE;Top;0.7;11;42;18;54.7%;6.0;1.558;260;10;;;;;;;;;;;;;;
KuKu;CGE;Mid;1.6;42;70;73;66.9%;8.2;6.65;811;28;;;;;;;;;;;;;;
Melon;CGE;Support;1.2;4;51;56;63.8%;1.0;437;427;14;;;;;;;;;;;;;;
Never;CGE;Support;0.8;15;71;41;60.2%;3.5;1.529;440;16;;;;;;;;;;;;;;
Rabi2;CGE;ADC;1.1;37;98;73;64.0%;6.4;5.156;811;28;;;;;;;;;;;;;;
SpeaR;CGE;Jungle;1.1;47;108;67;66.3%;3.6;2.948;811;28;;;;;;;;;;;;;;
Syuan;CGE;Top;1.1;16;53;41;54.8%;6.9;3.415;495;16;;;;;;;;;;;;;;
Corgi;FB;ADC;2.4;70;69;96;75.5%;8.3;7.06;847;24;;;;;;;;;;;;;;
Julian;FB;Top;1.4;8;19;19;65.9%;6.3;1.146;181;6;;;;;;;;;;;;;;
Kaiwing;FB;Mid;2.6;14;69;162;81.1%;1.4;1.168;823;23;;;;;;;;;;;;;;
M1ssion;FB;Mid;3.2;74;61;119;75.7%;9.5;9.331;979;28;;;;;;;;;;;;;;
Ninuo;FB;Top;2.9;30;42;91;58.5%;7.6;5.591;739;20;;;;;;;;;;;;;;
Payne;FB;ADC;1.4;5;21;24;69.0%;7.3;1.394;191;6;;;;;;;;;;;;;;
SkuLL;FB;Support;1.3;1;22;27;73.7%;1.2;185;156;5;;;;;;;;;;;;;;
Wulala;FB;Jungle;2.3;53;78;125;69.8%;3.6;3.528;979;28;;;;;;;;;;;;;;
Breeze;FW;ADC;2.9;23;14;17;75.5%;8.5;1.238;146;4;;;;;;;;;;;;;;
