Week 1;;;
[hide]Day 1;;;
CJ;0;2;SKT
AFs;0;2;KT
[hide]Day 2;;;
LZ;2;0;JAG
SSG;2;0;KDM
[hide]Day 3;;;
KT;2;0;SBENU
ROX;2;0;CJ
[hide]Day 4;;;
AFs;0;2;SSG
JAG;2;0;SKT
Week 2;;;
[hide]Day 1;;;
SSG;2;1;LZ
KDM;0;2;JAG
[hide]Day 2;;;
KT;1;2;ROX
SBENU;1;2;CJ
[hide]Day 3;;;
SSG;0;2;SKT
AFs;1;2;JAG
[hide]Day 4;;;
SBENU;1;2;KDM
LZ;0;2;ROX
Week 3;;;
[hide]Day 1;;;
AFs;2;0;SBENU
ROX;2;1;SKT
[hide]Day 2;;;
JAG;2;0;CJ
KT;2;0;SSG
[hide]Day 3;;;
SKT;2;1;KDM
LZ;2;0;AFs
[hide]Day 4;;;
ROX;2;0;SSG
JAG;2;0;SBENU
Week 4;;;
[hide]Day 1;;;
KDM;0;2;KT
CJ;2;1;LZ
[hide]Day 2;;;
AFs;1;2;ROX
SBENU;0;2;SKT
[hide]Day 3;;;
JAG;1;2;SSG
KDM;0;2;LZ
Week 5;;;
[hide]Day 1;;;
LZ;2;1;SBENU
ROX;2;0;KDM
[hide]Day 2;;;
CJ;2;1;AFs
SKT;2;0;KT
Week 6;;;
[hide]Day 1;;;
KT;1;2;JAG
SSG;2;1;CJ
[hide]Day 2;;;
SKT;0;2;LZ
KDM;0;2;AFs
[hide]Day 3;;;
KT;2;1;CJ
JAG;0;2;ROX
[hide]Day 4;;;
SKT;1;2;AFs
SBENU;0;2;SSG
Week 7;;;
[hide]Day 1;;;
ROX;2;0;SBENU
LZ;1;2;KT
[hide]Day 2;;;
CJ;2;1;KDM
Week 8;;;
[hide]Day 1;;;
SBENU;0;2;JAG
KDM;1;2;CJ
[hide]Day 2;;;
SSG;0;2;KT
ROX;2;0;LZ
[hide]Day 3;;;
CJ;2;1;SBENU
Week 9;;;
[hide]Day 1;;;
LZ;2;0;KDM
JAG;2;0;KT
[hide]Day 2;;;
CJ;2;0;SSG
SBENU;0;2;ROX
[hide]Day 3;;;
AFs;1;2;SKT
JAG;2;0;KDM
[hide]Day 4;;;
KT;2;0;LZ
SSG;2;1;ROX
Week 10;;;
[hide]Day 1;;;
SKT;2;0;JAG
AFs;2;1;KDM
[hide]Day 2;;;
LZ;1;2;CJ
SBENU;0;2;KT
[hide]Day 3;;;
SKT;0;2;ROX
SSG;1;2;AFs
[hide]Day 4;;;
KDM;0;2;SBENU
CJ;1;2;JAG
Week 11;;;
[hide]Day 1;;;
SSG;2;0;SBENU
CJ;0;2;ROX
[hide]Day 2;;;
KT;1;2;AFs
LZ;0;2;SKT
[hide]Day 3;;;
KDM;0;2;ROX
SSG;2;1;JAG
[hide]Day 4;;;
SKT;2;0;CJ
SBENU;1;2;AFs
Week 12;;;
[hide]Day 1;;;
ROX;1;2;KT
LZ;2;0;SSG
[hide]Day 2;;;
JAG;0;2;AFs
KDM;0;2;SKT
[hide]Day 3;;;
SBENU;2;0;LZ
CJ;0;2;KT
[hide]Day 4;;;
SKT;2;1;SSG
ROX;2;0;AFs
Week 13;;;
[hide]Day 1;;;
AFs;2;1;LZ
KT;2;0;SKT
[hide]Day 2;;;
ROX;2;0;JAG
KDM;1;2;SSG
[hide]Day 3;;;
AFs;2;0;CJ
SKT;2;0;SBENU
[hide]Day 4;;;
KT;2;1;KDM
JAG;1;2;LZ
