Week 1;;;
[hide]Day 1;;;
EDG;0;2;RNG
VG;2;0;OMG
[hide]Day 2;;;
WE;2;1;EP.A
LGD;0;2;QG
[hide]Day 3;;;
VG;1;2;RNG
OMG;2;1;HYG
EDG;0;2;iG
[hide]Day 4;;;
QG;2;0;WE
M3;0;2;EP.A
LGD;1;2;SS
Week 2;;;
[hide]Day 1;;;
SS;0;2;M3
QG;2;0;EP.A
[hide]Day 2;;;
OMG;0;2;RNG
iG;2;0;HYG
[hide]Day 3;;;
SS;2;1;EP.A
QG;2;0;M3
LGD;0;2;WE
[hide]Day 4;;;
EDG;2;0;VG
RNG;2;0;HYG
iG;0;2;OMG
Week 3;;;
[hide]Day 1;;;
iG;2;1;VG
EDG;2;0;HYG
[hide]Day 2;;;
LGD;0;2;M3
SS;2;1;WE
[hide]Day 3;;;
iG;2;1;RNG
EDG;2;0;OMG
VG;2;0;HYG
[hide]Day 4;;;
WE;2;0;M3
LGD;2;0;EP.A
QG;2;0;SS
Week 4;;;
[hide]Day 1;;;
LGD;0;2;EDG
RNG;0;2;WE
[hide]Day 2;;;
VG;2;1;M3
QG;2;0;OMG
[hide]Day 3;;;
HYG;0;2;EP.A
SS;2;0;iG
LGD;0;2;RNG
[hide]Day 4;;;
OMG;2;0;M3
VG;1;2;QG
Week 5;;;
[hide]Day 1;;;
WE;1;2;EDG
HYG;0;2;SS
[hide]Day 2;;;
iG;2;0;EP.A
RNG;2;0;QG
[hide]Day 3;;;
HYG;2;0;M3
WE;0;2;VG
EDG;1;2;SS
[hide]Day 4;;;
LGD;0;2;iG
OMG;2;1;EP.A
Week 6;;;
[hide]Day 1;;;
HYG;0;2;QG
OMG;2;1;LGD
[hide]Day 2;;;
RNG;2;0;EP.A
WE;2;0;iG
[hide]Day 3;;;
OMG;2;1;SS
LGD;2;0;VG
EDG;0;2;QG
[hide]Day 4;;;
HYG;0;2;WE
iG;1;2;M3
Week 7;;;
[hide]Day 1;;;
SS;0;2;RNG
EDG;2;0;M3
[hide]Day 2;;;
VG;2;0;EP.A
HYG;0;2;LGD
[hide]Day 3;;;
iG;1;2;QG
RNG;2;1;M3
WE;2;1;OMG
[hide]Day 4;;;
EDG;2;0;EP.A
VG;2;1;SS
Week 8;;;
[hide]Day 1;;;
HYG;0;2;EDG
VG;1;2;iG
[hide]Day 2;;;
QG;0;2;LGD
EP.A;1;2;WE
[hide]Day 3;;;
iG;0;2;EDG
HYG;0;2;OMG
RNG;2;1;VG
[hide]Day 4;;;
EP.A;1;2;LGD
SS;2;0;QG
WE;2;0;M3
Week 9;;;
[hide]Day 1;;;
EP.A;2;1;QG
M3;0;2;SS
[hide]Day 2;;;
RNG;1;2;EDG
OMG;2;1;iG
[hide]Day 3;;;
M3;1;2;QG
EP.A;1;2;SS
WE;0;2;LGD
[hide]Day 4;;;
VG;0;2;EDG
HYG;0;2;iG
RNG;2;0;OMG
Week 10;;;
[hide]Day 1;;;
HYG;0;2;RNG
OMG;1;2;VG
[hide]Day 2;;;
WE;1;2;SS
M3;0;2;LGD
[hide]Day 3;;;
RNG;2;1;iG
OMG;0;2;EDG
HYG;0;2;VG
[hide]Day 4;;;
WE;2;1;QG
SS;1;2;LGD
EP.A;2;0;M3
