Week 1;;;
[hide]Day 1;;;
TSM;2;0;CLG
nV;2;1;NRG
[hide]Day 2;;;
C9;1;2;IMT
nV;2;0;TL
FOX;2;0;P1
APX;2;0;NRG
[hide]Day 3;;;
APX;2;1;CLG
FOX;1;2;C9
TSM;2;0;TL
IMT;2;0;P1
Week 2;;;
[hide]Day 1;;;
NRG;1;2;IMT
APX;1;2;nV
[hide]Day 2;;;
TL;1;2;CLG
P1;1;2;C9
NRG;2;0;FOX
TSM;2;0;APX
[hide]Day 3;;;
TSM;2;1;IMT
FOX;0;2;TL
nV;2;0;P1
CLG;0;2;C9
Week 3;;;
[hide]Day 1;;;
C9;1;2;TSM
TL;2;0;P1
[hide]Day 2;;;
IMT;2;0;nV
TL;2;1;NRG
CLG;2;0;FOX
P1;1;2;APX
[hide]Day 3;;;
NRG;0;2;TSM
FOX;0;2;IMT
APX;1;2;C9
CLG;1;2;nV
Week 4;;;
[hide]Day 1;;;
CLG;1;2;IMT
TL;2;0;APX
[hide]Day 2;;;
C9;2;0;nV
IMT;2;0;TL
TSM;2;1;FOX
NRG;2;1;P1
[hide]Day 3;;;
C9;2;0;NRG
P1;0;2;CLG
nV;0;2;TSM
APX;2;0;FOX
Week 5;;;
[hide]Day 1;;;
C9;1;2;TL
FOX;1;2;nV
[hide]Day 2;;;
NRG;0;2;CLG
IMT;2;0;APX
P1;0;2;TSM
TL;2;0;nV
[hide]Day 3;;;
CLG;0;2;TSM
APX;1;2;P1
FOX;0;2;NRG
IMT;2;0;C9
Week 6;;;
[hide]Day 1;;;
TSM;2;0;C9
nV;0;2;IMT
[hide]Day 2;;;
NRG;0;2;APX
TL;1;2;IMT
P1;2;1;FOX
nV;0;2;CLG
[hide]Day 3;;;
APX;0;2;TSM
CLG;2;1;P1
NRG;0;2;C9
TL;2;1;FOX
Week 7;;;
[hide]Day 1;;;
IMT;2;1;CLG
P1;2;1;NRG
[hide]Day 2;;;
FOX;0;2;TSM
C9;2;1;APX
NRG;2;0;nV
P1;0;2;TL
[hide]Day 3;;;
C9;1;2;CLG
TL;0;2;TSM
IMT;2;0;FOX
nV;2;1;APX
Week 8;;;
[hide]Day 1;;;
IMT;2;0;NRG
FOX;1;2;APX
[hide]Day 2;;;
CLG;2;1;TL
TSM;1;2;P1
nV;0;2;C9
APX;0;2;IMT
[hide]Day 3;;;
NRG;0;2;TL
C9;2;0;P1
TSM;2;0;nV
FOX;0;2;CLG
Week 9;;;
[hide]Day 1;;;
IMT;0;2;TSM
P1;2;1;nV
[hide]Day 2;;;
CLG;2;1;NRG
C9;2;0;FOX
APX;2;1;TL
P1;1;2;IMT
[hide]Day 3;;;
TSM;2;1;NRG
TL;0;2;C9
CLG;1;2;APX
nV;2;0;FOX
